满五唯一 南通北透 中间楼层 大四房 三个阳台业主急卖,中海国际社区2期 -含浦,4室2厅 | 127.15平米 | 南 | 精装 | 中楼层(共33层) | 2013年建 | 塔楼,0人关注 / 9天以前发布,138,"10,854元/平"
满五唯一精装大四房，电梯高层非顶楼，业主诚心出售,嘉福长安郡 -德思勤,4室2厅 | 150.57平米 | 南 北 西 | 精装 | 高楼层(共18层) | 2012年建 | 板楼,0人关注 / 13天以前发布,175,"11,623元/平"
烈士公园 德雅路烈士公园宿舍正规两房带独院看房方便,湖南烈士公园宿舍 -烈士公园,2室1厅 | 63平米 | 东 | 简装 | 低楼层(共6层)  | 塔楼,0人关注 / 3天以前发布,70,"11,112元/平"
万科国际看湖看江四房，有资格就能买做到满五唯一,万科里金域国际 -滨江新城,4室1厅 | 140.12平米 | 西南 | 精装 | 中楼层(共47层) | 2016年建 | 板塔结合,1人关注 / 17天以前发布,298,"21,268元/平"
保利花园三期精装修小三房 价格美丽,保利花园三期 -省政府,3室2厅 | 83.05平米 | 南 | 精装 | 低楼层(共16层) | 2011年建 | 板楼,3人关注 / 15天以前发布,83,"9,994元/平"
新上精装修大3室，房东自住，采光，户型杠杠的,德馨园 -韶山南路,3室2厅 | 135.81平米 | 南 | 精装 | 中楼层(共10层)  | 板楼,0人关注 / 13天以前发布,114,"8,395元/平"
珠江东方明珠 5室2厅 南,珠江东方明珠 -金星北,5室2厅 | 146.23平米 | 南 | 毛坯 | 低楼层(共25层)  | 板塔结合,0人关注 / 15天以前发布,117,"8,002元/平"
房子户型周正 业主诚心出售 小区环境好 带阁楼,郡原居里 -万家丽北,3室2厅 | 86平米 | 南 北 | 精装 | 高楼层(共5层) | 2012年建 | 板塔结合,2人关注 / 16天以前发布,66.6,"7,745元/平"
三房户型 带周南九年 诚心出售的房子,晟通城 -望城区,3室2厅 | 97.6平米 | 南 | 精装 | 中楼层(共18层) | 2014年建 | 板楼,0人关注 / 12天以前发布,68.8,"7,050元/平"
桂花坪地铁口，小高层三房两卫，带湘府英才，人车分流,绿地公馆 -省政府,3室2厅 | 94.94平米 | 南 北 | 简装 | 低楼层(共11层) | 2013年建 | 板塔结合,2人关注 / 17天以前发布,96.8,"10,196元/平"
双地铁口，价格实惠，诚心出售，随时看房，使用面积大,世嘉国际华城一期 -芙蓉区政府,2室1厅 | 118.74平米 | 南 | 精装 | 高楼层(共18层) | 2005年建 | 板塔结合,0人关注 / 15天以前发布,92,"7,749元/平"
满五唯一  次新小区  环境优美  商圈成熟,蓝光幸福满庭 -喜盈门,3室2厅 | 84.7平米 | 南 | 精装 | 高楼层(共33层) | 2016年建 | 板塔结合,1人关注 / 12天以前发布,110,"12,988元/平"
标题,开发商,房子信息,发布周期,售价/万,单价
桂花城中间楼栋三楼两居室，位置安静 采光亮堂,绿城桂花城 -武广新城,2室2厅 | 92.84平米 | 南 | 精装 | 中楼层(共5层) | 2007年建 | 板楼,0人关注 / 6天以前发布,142,"15,296元/平"
德庆水韵山城  精装三房，视野开阔  采光好  好楼层,德庆水韵山城 -汽车南站,3室2厅 | 87.64平米 | 东南 | 精装 | 低楼层(共33层) | 2011年建 | 板塔结合,0人关注 / 14天以前发布,79,"9,015元/平"
轻轨口、精装修四房两厅两卫、朝南、双阳台落地窗！,米地亚家园 -望城区,4室2厅 | 139.5平米 | 南 | 其他 | 低楼层(共11层)  | 暂无数据,0人关注 / 12天以前发布,90,"6,452元/平"
业主自住四房 业主诚意出售 满五唯一无个税,万科金域华府 -武广新城,4室2厅 | 128平米 | 南 北 | 精装 | 高楼层(共34层)  | 板塔结合,1人关注 / 11天以前发布,168,"13,125元/平"
业主诚心出售，看房方便，二楼精装三房，拎包入住,上王家冲小区 -雨花亭,3室3厅 | 97.4平米 | 南 北 | 精装 | 低楼层(共7层) | 2007年建 | 板楼,0人关注 / 10天以前发布,88,"9,035元/平"
省政府明德旁 精装小两房 诚心出售 随时看房,鑫远微中心 -省政府,2室1厅 | 64.62平米 | 南 | 精装 | 高楼层(共16层) | 2015年建 | 板塔结合,4人关注 / 6天以前发布,38,"5,881元/平"
满五唯一 中间楼层 全明南北向精致小三房,中国铁建梅溪青秀 -梅溪湖北岸,3室2厅 | 93.67平米 | 南 北 | 精装 | 中楼层(共33层)  | 塔楼,1人关注 / 13天以前发布,147,"15,694元/平"
定江洋轻奢风 全新未入住 花了百多万 新风带地暖 中层,北辰定江洋 -北辰三角洲,4室2厅 | 201.9平米 | 西 | 其他 | 中楼层(共38层) | 2016年建 | 板塔结合,1人关注 / 15天以前发布,550,"27,242元/平"
八一路 省委 大同 向阳门第 司法厅正规三房低楼层,湖南省司法厅宿舍 -晚报,3室2厅 | 87.64平米 | 南 北 | 简装 | 低楼层(共7层)  | 暂无数据,0人关注 / 15天以前发布,125,"14,263元/平"
近地铁，好楼层，诚心卖，采光好，随时可看。,麓山名园 -金星中路,3室1厅 | 114平米 | 南 北 | 精装 | 中楼层(共6层) | 2005年建 | 板楼,0人关注 / 9天以前发布,102,"8,948元/平"
房东诚心出售，边户通透大三房。,君悦香邸 -北辰三角洲,3室2厅 | 120.4平米 | 南 | 简装 | 高楼层(共27层) | 2007年建 | 塔楼,1人关注 / 15天以前发布,145.8,"12,110元/平"
达美好楼栋看岳麓山观梅溪湖，得房高，大三房。,达美D6区 -汽车西站,3室2厅 | 85.37平米 | 南 | 其他 | 高楼层(共32层) | 2013年建 | 板塔结合,0人关注 / 9天以前发布,120,"14,057元/平"
保利麓谷林语 中间楼层 花园中间 安静  诚心出售,保利麓谷林语蔷薇谷 -麓谷西,3室2厅 | 91.52平米 | 南 北 | 简装 | 中楼层(共11层) | 2013年建 | 板塔结合,1人关注 / 11天以前发布,116,"12,675元/平"
此房楼层好层，南北通透采光好，户型周正，毛坯房,万国城三期 -福元西路,3室2厅 | 115.89平米 | 南 北 | 毛坯 | 高楼层(共18层) | 2012年建 | 板塔结合,3人关注 / 13天以前发布,135,"11,649元/平"
1号线友谊路站300米 周正4居 居家装修 青园本部,鑫远湘府华城北区 -铁道学院,4室2厅 | 167.63平米 | 南 北 | 精装 | 中楼层(共24层) | 2010年建 | 板塔结合,0人关注 / 13天以前发布,208,"12,409元/平"
次新小区、人车分流、小区品质鲁班奖、近博才500米,红星紫檀溪苑 -枫林三路,3室2厅 | 104.55平米 | 南 | 精装 | 低楼层(共31层) | 2014年建 | 板塔结合,0人关注 / 11天以前发布,102.8,"9,833元/平"
地铁口 电信单位房 全新精装3房 中间楼层 钥匙在手,香樟路电信宿舍 -韶山南路,3室2厅 | 78.84平米 | 南 | 精装 | 中楼层(共8层) | 1995年建 | 塔楼,1人关注 / 12天以前发布,66.8,"8,473元/平"
满五唯一 圭塘河畔 万科品质二期大三房 随时可看!,万科金域华府 -武广新城,3室2厅 | 125.34平米 | 东南 | 精装 | 低楼层(共34层) | 2013年建 | 板塔结合,2人关注 / 14天以前发布,153.98,"12,285元/平"
户型周正三房，楼层采光好，3号线湘龙5号土桥站,丰源国际 -万家丽北,3室2厅 | 121.39平米 | 东南 | 精装 | 低楼层(共33层) | 2013年建 | 板塔结合,1人关注 / 8天以前发布,105,"8,650元/平"
满五省个税 正地铁口 毛坯小三房 中间楼层 诚心出售,勤诚达新界 -金星北,3室2厅 | 93.59平米 | 南 | 毛坯 | 中楼层(共33层)  | 板塔结合,1人关注 / 12天以前发布,83.6,"8,933元/平"
滨江北 正地铁口 湖景房，满五唯一 视野开阔,时代倾城 -金星北,3室2厅 | 115平米 | 南 | 简装 | 中楼层(共34层)  | 板塔结合,0人关注 / 15天以前发布,124,"10,783元/平"
市府旁 近地铁口  实用小三房 满五唯一免个税,西城龙庭 -河西步步高,3室2厅 | 89.2平米 | 南 | 其他 | 低楼层(共16层) | 2010年建 | 板塔结合,0人关注 / 9天以前发布,112,"12,557元/平"
徐锅首推 滨江天王级四大法宝加持 临地铁 靠学府,世茂铂翠湾 -滨江新城,3室2厅 | 96.49平米 | 南 | 精装 | 中楼层(共33层)  | 板楼,0人关注 / 11天以前发布,172,"17,826元/平"
满五唯一 正地铁口 检篓20万起 房东腾资格急售！,万科金域华府 -武广新城,3室2厅 | 91.15平米 | 东南 | 精装 | 高楼层(共34层) | 2013年建 | 板塔结合,3人关注 / 12天以前发布,108,"11,849元/平"
房东急售 价格优惠  满五唯一  楼层采光好,富基世纪公园 -金星北,3室2厅 | 103.36平米 | 南 北 | 其他 | 中楼层(共32层) | 2015年建 | 板塔结合,0人关注 / 13天以前发布,78.8,"7,624元/平"
小区内部绿化面积大，空气对流， 居住安静舒适,盛世耀凯 -河西人人乐,3室2厅 | 91.31平米 | 北 | 毛坯 | 低楼层(共26层)  | 板楼,0人关注 / 9天以前发布,89.7,"9,824元/平"
梅溪湖鑫苑名家 6号线地铁口 配套完善,梅溪鑫苑名家 -东方红,3室2厅 | 88.67平米 | 南 | 简装 | 高楼层(共33层) | 2017年建 | 板塔结合,0人关注 / 11天以前发布,125,"14,098元/平"
正地铁口100米 精装3房拎包入住  省个税,勤诚达新界 -金星北,3室2厅 | 88.27平米 | 南 | 精装 | 高楼层(共18层)  | 板楼,1人关注 / 13天以前发布,92,"10,423元/平"
精装大三房户型好，很通透的格局，二梯二户，直通车库,云栖谷 -含浦,3室1厅 | 123.83平米 | 南 | 精装 | 低楼层(共18层)  | 板楼,0人关注 / 9天以前发布,96.8,"7,818元/平"
理工大学盘 ，配套齐全，交通便利,星宇V立方 -金盆岭,3室1厅 | 73.45平米 | 西南 | 精装 | 中楼层(共30层) | 2016年建 | 塔楼,0人关注 / 14天以前发布,88,"11,981元/平"
标题,开发商,房子信息,发布周期,售价/万,单价
金色比华利 3室2厅 南,金色比华利 -月湖,3室2厅 | 132.94平米 | 南 | 精装 | 中楼层(共17层)  | 塔楼,0人关注 / 5天以前发布,110,"8,275元/平"
万博汇 业主自住精装三房 户型周正 中间楼层 诚心出售,万博汇名邸一期 -雨花亭,3室2厅 | 120.93平米 | 南 | 其他 | 低楼层(共32层) | 2010年建 | 板塔结合,0人关注 / 14天以前发布,242,"20,012元/平"
次新小区 中间楼层 精装保养好 拎包入住,旭辉香樟公馆 -树木岭,2室2厅 | 70.48平米 | 南 北 | 精装 | 中楼层(共34层) | 2016年建 | 塔楼,1人关注 / 7天以前发布,87,"12,344元/平"
刚需婚房看这里，出门双地铁，保利天虹，拎包入住,半山壹号 -武广新城,3室1厅 | 88平米 | 南 | 精装 | 高楼层(共34层) | 2017年建 | 板塔结合,2人关注 / 15天以前发布,127,"14,432元/平"
满五唯一 万科墅区小三房  随时可看！,万科金域华府 -武广新城,3室2厅 | 87.12平米 | 西南 | 精装 | 低楼层(共34层) | 2013年建 | 板塔结合,1人关注 / 14天以前发布,123.8,"14,211元/平"
业主自住装修 中高楼层 密码看房,紫御江山人民里 -汽车东站,3室1厅 | 97.74平米 | 南 | 精装 | 高楼层(共32层) | 2015年建 | 塔楼,1人关注 / 13天以前发布,107.8,"11,030元/平"
烈士公园  省博物馆   湘雅附一   芙蓉中路,汽车城宿舍 -烈士公园,2室1厅 | 70平米 | 南 北 | 其他 | 中楼层(共7层) | 2003年建 | 板楼,0人关注 / 4天以前发布,56.2,"8,029元/平"
房子是业主自己住的，购物买菜方便，交易出行方便,诚兴园 -河西人人乐,2室2厅 | 82.29平米 | 西南 | 其他 | 高楼层(共28层) | 2010年建 | 板塔结合,0人关注 / 6天以前发布,68,"8,264元/平"
五房两厅新华联带三十平房露台毛坯房,新华联梦想城 -金星北,5室2厅 | 123.46平米 | 南 | 简装 | 11层  | 板楼,0人关注 / 9天以前发布,120,"9,720元/平"
阳光城尚东湾 青云苑大三房 南北通透 随时可看房,阳光城尚东湾 -武广新城,3室2厅 | 124.24平米 | 南 北 | 简装 | 中楼层(共33层) | 2017年建 | 板塔结合,1人关注 / 10天以前发布,130,"10,464元/平"
地铁口，圭塘河旁，东澜湾，毛坯4+1户型，满五唯一，,江河东澜湾 -武广新城,4室2厅 | 129.19平米 | 南 | 毛坯 | 低楼层(共31层) | 2015年建 | 板塔结合,0人关注 / 15天以前发布,167,"12,927元/平"
芙蓉区星沙大道东站苹果社区汇一城，精装两房，户型好,苹果社区 -汽车东站,2室2厅 | 84.22平米 | 南 北 | 精装 | 中楼层(共18层) | 2010年建 | 板塔结合,0人关注 / 13天以前发布,61.8,"7,338元/平"
盛世华章精装三房满五唯一省税地铁口配套成熟环境好,嘉宇盛世华章 -武广新城,3室2厅 | 132.43平米 | 南 北 | 精装 | 低楼层(共18层)  | 板楼,0人关注 / 15天以前发布,150,"11,327元/平"
区政府地铁口电梯毛坯三房优价急售！,联诚现代城 -望城区,3室2厅 | 94.1平米 | 南 西 | 毛坯 | 高楼层(共30层) | 2014年建 | 板楼,0人关注 / 9天以前发布,65,"6,908元/平"
树木岭南北通透三房 不临街 有地暖 有砂子塘 随时看房,新城新世界一期 -高桥,3室1厅 | 136.46平米 | 南 北 | 简装 | 中楼层(共18层) | 2013年建 | 板塔结合,0人关注 / 10天以前发布,168,"12,312元/平"
万国城三期可看到国金大空间三房，视野好采光棒,万国城三期 -福元西路,3室2厅 | 89.83平米 | 南 | 精装 | 高楼层(共34层) | 2012年建 | 板塔结合,1人关注 / 8天以前发布,107.9,"12,012元/平"
店长推荐，月亮岛精装三房两卫，装修保养好，拎包入住,恒大名都 -金星北,3室2厅 | 111.79平米 | 南 北 | 精装 | 高楼层(共32层)  | 板塔结合,0人关注 / 10天以前发布,80,"7,157元/平"
桐梓坡，精装修，地铁口，湘雅三，周正二房,英才园 -桐梓坡,2室2厅 | 82.27平米 | 南 | 精装 | 中楼层(共7层) | 1998年建 | 板楼,1人关注 / 9天以前发布,75,"9,117元/平"
居家三房 业主自住装修 业主诚意出售,绿地之窗 -武广新城,3室2厅 | 107.18平米 | 南 北 | 精装 | 高楼层(共30层) | 2014年建 | 板塔结合,0人关注 / 14天以前发布,124,"11,570元/平"
诚心出售 品质楼盘 正地铁口 价格美丽,金茂悦 -梅溪湖北岸,4室2厅 | 130.45平米 | 南 北 | 毛坯 | 高楼层(共33层)  | 塔楼,0人关注 / 9天以前发布,245,"18,782元/平"
次新小区 中间楼层 采光视野好,旭辉香樟公馆 -树木岭,4室2厅 | 118.33平米 | 南 | 精装 | 中楼层(共34层) | 2016年建 | 板塔结合,0人关注 / 9天以前发布,142,"12,001元/平"
满五唯一 毛胚4房 全明户型 靠地铁 近谷山,珠江东方明珠 -金星北,3室2厅 | 119.77平米 | 南 | 毛坯 | 中楼层(共32层) | 2016年建 | 板塔结合,0人关注 / 8天以前发布,103,"8,600元/平"
青竹湖畔  上叠三层    精装拎包入住,青竹湖畔 -青竹湖,4室2厅 | 212.18平米 | 南 | 精装 | 中楼层(共6层)  | 暂无数据,0人关注 / 2个月以前发布,218,"10,275元/平"
可以看全景西湖公园和岳麓山   精装修保养好 满五唯一,西山汇景 -桐梓坡,4室2厅 | 165.05平米 | 南 北 | 精装 | 高楼层(共18层) | 2009年建 | 板塔结合,16人关注 / 3个月以前发布,312,"18,904元/平"
急售 急售 急售 融科精装两房 中低楼层,融科东南海 -树木岭,2室2厅 | 77.66平米 | 东 | 精装 | 低楼层(共34层) | 2013年建 | 塔楼,0人关注 / 7天以前发布,86,"11,074元/平"
高桥上河国际花园 自住精装三房 满五唯一,上河国际花园C区 -高桥,3室2厅 | 102.35平米 | 南 | 精装 | 中楼层(共25层) | 2007年建 | 板塔结合,0人关注 / 8天以前发布,116.8,"11,412元/平"
房子楼层好，正南户型，业主诚心出售,凯通朝庭 -火车站,3室2厅 | 89.92平米 | 东 东南 | 精装 | 低楼层(共33层) | 2014年建 | 板塔结合,0人关注 / 8天以前发布,116,"12,901元/平"
WS区高层 视野好前方无任何遮挡 居家精装三房,山水湾 -万家丽北,3室2厅 | 101.97平米 | 南 | 精装 | 中楼层(共33层)  | 板塔结合,0人关注 / 7天以前发布,92.8,"9,101元/平"
楼栋位置好楼层采光好，带地暖正南北通透小三房,万国城三期 -福元西路,3室2厅 | 89.3平米 | 南 北 | 精装 | 低楼层(共34层) | 2012年建 | 板塔结合,0人关注 / 8天以前发布,114,"12,766元/平"
北面一线江景无遮挡，清水毛坯，全明户型,湘江雅颂居 -新开铺,3室2厅 | 136.17平米 | 南 北 | 毛坯 | 23层  | 板塔结合,0人关注 / 6天以前发布,180,"13,219元/平"
标题,开发商,房子信息,发布周期,售价/万,单价
湘府十城 3室2厅 北 南,湘府十城 -汽车南站,3室2厅 | 94.97平米 | 北 南 | 精装 | 高楼层(共18层) | 2014年建 | 板塔结合,2人关注 / 7天以前发布,99.9,"10,520元/平"
旺德府恺悦国际/广电旁/精装3房/低价,旺德府恺悦国际 -月湖,3室2厅 | 88.44平米 | 南 | 精装 | 高楼层(共28层) | 2015年建 | 塔楼,0人关注 / 7天以前发布,75,"8,481元/平"
